petalLength,petalWidth,sepalLength,sepalWidth,species
1.4,0.1,4.9,3.6,SETOSA
1.5,0.3,5.1,3.8,SETOSA
1.4,0.2,4.9,3.0,SETOSA
1.0,0.2,4.6,3.6,SETOSA
1.3,0.2,4.4,3.2,SETOSA
1.4,0.2,5.0,3.6,SETOSA
1.3,0.2,4.7,3.2,SETOSA
1.7,0.4,5.4,3.9,SETOSA
1.7,0.3,5.7,3.8,SETOSA
1.4,0.3,4.6,3.4,SETOSA
1.5,0.1,5.2,4.1,SETOSA
1.5,0.4,5.1,3.7,SETOSA
1.4,0.2,5.1,3.5,SETOSA
1.6,0.2,4.7,3.2,SETOSA
1.5,0.2,5.2,3.5,SETOSA
1.6,0.2,4.8,3.1,SETOSA
1.6,0.4,5.0,3.4,SETOSA
1.3,0.2,4.4,3.0,SETOSA
1.6,0.6,5.0,3.5,SETOSA
1.4,0.2,5.2,3.4,SETOSA
1.5,0.4,5.4,3.4,SETOSA
1.4,0.2,5.0,3.3,SETOSA
1.3,0.4,5.4,3.9,SETOSA
1.1,0.1,4.3,3.0,SETOSA
1.6,0.2,5.0,3.0,SETOSA
1.5,0.1,4.9,3.1,SETOSA
1.7,0.5,5.1,3.3,SETOSA
1.4,0.1,4.8,3.0,SETOSA
1.5,0.2,4.6,3.1,SETOSA
1.5,0.2,4.9,3.1,SETOSA
1.3,0.3,4.5,2.3,SETOSA
1.4,0.3,5.1,3.5,SETOSA
1.7,0.2,5.4,3.4,SETOSA
1.5,0.2,5.3,3.7,SETOSA
1.5,0.4,5.7,4.4,SETOSA
1.2,0.2,5.8,4.0,SETOSA
1.9,0.2,4.8,3.4,SETOSA
1.4,0.3,4.8,3.0,SETOSA
1.5,0.2,5.0,3.4,SETOSA
1.4,0.2,4.4,2.9,SETOSA
1.6,0.2,5.1,3.8,SETOSA
1.5,0.2,5.1,3.4,SETOSA
1.6,0.2,4.8,3.4,SETOSA
1.3,0.3,5.0,3.5,SETOSA
1.4,0.2,5.5,4.2,SETOSA
1.9,0.4,5.1,3.8,SETOSA
1.4,0.2,4.6,3.2,SETOSA
1.2,0.2,5.0,3.2,SETOSA
1.3,0.2,5.5,3.5,SETOSA
1.5,0.2,5.4,3.7,SETOSA
